ENTREZID	SYMBOL
23469	PHF3
1643	DDB2
8449	DHX16
9882	TBC1D4
88523	NA
9683	N4BP1
4863	NPAT
4747	NEFL
288	ANK3
5922	RASA2
11119	BTN3A1
9617	MTRF1
9497	SLC4A7
7508	XPC
10507	SEMA4D
7220	TRPC1
1577	CYP3A5
23046	KIF21B
221078	NSUN6
7561	ZNF14
11329	STK38
26098	EDRF1
9159	PCSK7
29909	GPR171
9725	TMEM63A
23492	CBX7
6415	SELENOW
23174	ZCCHC14
6890	TAP1
23215	PRRC2C
10947	AP3M2
1123	CHN1
54681	P4HTM
10943	MSL3
4501	MT1X
2073	ERCC5
9546	APBA3
25821	MTO1
23338	JADE2
5467	PPARD
9905	SGSM2
55187	VPS13D
440270	GOLGA8B
23015	GOLGA8A
6489	ST8SIA1
6777	STAT5B
7464	CORO2A
57198	ATP8B2
10561	IFI44
5813	PURA
28984	RGCC
59338	PLEKHA1
91782	CHMP7
51466	EVL
55274	PHF10
7294	TXK
26999	CYFIP2
51303	FKBP11
11118	BTN3A2
5217	PFN2
3275	PRMT2
687	KLF9
10123	ARL4C
1901	S1PR1
4204	MECP2
399	RHOH
6935	ZEB1
841	CASP8
5578	PRKCA
51149	MRNIP
55180	LINS1
4216	MAP3K4
7433	VIPR1
64210	MMS19
85021	REPS1
727851	RGPD8
3134	HLA-F
8518	ELP1
29121	CLEC2D
79695	GALNT12
2054	STX2
57185	NIPAL3
5937	RBMS1
6609	SMPD1
80055	PGAP1
5732	PTGER2
9013	TAF1C
9583	ENTPD4
55196	RESF1
8832	CD84
10384	BTN3A3
55664	CDC37L1
253959	RALGAPA1
3655	ITGA6
5775	PTPN4
7767	ZNF224
51161	C3orf18
79958	DENND1C
3631	INPP4A
1741	DLG3
4775	NFATC3
1236	CCR7
4926	NUMA1
225	ABCD2
26751	SH3YL1
23263	MCF2L
8720	MBTPS1
4034	LRCH4
5125	PCSK5
23043	TNIK
57326	PBXIP1
63917	GALNT11
7752	ZNF200
57125	PLXDC1
5533	PPP3CC
11009	IL24
10235	RASGRP2
90	ACVR1
11120	BTN2A1
3298	HSF2
26049	FAM169A
55739	NAXD
55013	MCUB
22890	ZBTB1
26249	KLHL3
55876	GSDMB
5252	PHF1
155400	NSUN5P1
79037	PVRIG
126231	ZNF573
9975	NR1D2
5334	PLCL1
4152	MBD1
727877	NA
54737	MPHOSPH8
10519	CIB1
83752	LONP2
51654	CDK5RAP1
55303	GIMAP4
51735	RAPGEF6
25945	NECTIN3
642732	NA
9214	FCMR
6785	ELOVL4
23177	CEP68
9129	PRPF3
51696	HECA
7128	TNFAIP3
118924	FRA10AC1
54674	LRRN3
2145	EZH1
25777	SUN2
54476	RNF216
51586	MED15
84861	KLHL22
55324	ABCF3
55096	EBLN2
55037	PTCD3
6955	TRA
81576	CCDC130
54014	BRWD1
2744	GLS
24140	FTSJ1
1154	CISH
10600	USP16
6584	SLC22A5
32	ACACB
54882	ANKHD1
91289	LMF2
80052	RPS2P45
6793	STK10
64167	ERAP2
10443	N4BP2L2
6653	SORL1
3978	LIG1
112869	SGF29
1786	DNMT1
274	BIN1
311	ANXA11
22884	WDR37
79991	STN1
10140	TOB1
260294	NSUN5P2
4790	NFKB1
9659	PDE4DIP
25976	TIPARP
84851	TRIM52
24148	PRPF6
9194	SLC16A7
10216	PRG4
55795	PCID2
116829	NA
57234	LINC00869
27436	EML4
54677	CROT
8573	CASK
54941	RNF125
8675	STX16
29978	UBQLN2
5144	PDE4D
54665	RSBN1
158852	NA
9857	CEP350
4050	LTB
29969	MDFIC
166	TLE5
79690	GAL3ST4
25948	KBTBD2
22847	ZNF507
373156	GSTK1
5601	MAPK9
64863	METTL4
6993	DYNLT1
6433	SFSWAP
55770	EXOC2
596	BCL2
55601	DDX60
1390	CREM
80063	ATF7IP2
65981	CAPRIN2
727927	NA
64919	BCL11B
4603	MYBL1
23175	LPIN1
8481	OFD1
2971	GTF3A
11184	MAP4K1
388344	RPL13P12
10320	IKZF1
2833	CXCR3
10668	CGRRF1
5991	RFX3
79612	NAA16
7626	ZNF75D
4256	MGP
3163	HMOX2
3003	GZMK
57035	RSRP1
104	ADARB1
26205	GMEB2
23252	OTUD3
2634	GBP2
23078	VWA8
9267	CYTH1
10594	PRPF8
3572	IL6ST
339287	MSL1
55316	RSAD1
6687	SPG7
2845	GPR22
63892	THADA
440515	ZNF506
171023	ASXL1
55049	REX1BD
9249	DHRS3
57060	PCBP4
7480	WNT10B
79632	FAM184A
6197	RPS6KA3
54853	WDR55
10801	SEPTIN9
9923	ZBTB40
81550	TDRD3
50650	ARHGEF3
4242	MFNG
51460	SFMBT1
55269	PSPC1
8725	URI1
7267	TTC3
801	CALM1
79912	PYROXD1
10001	MED6
3937	LCP2
80100	NA
79913	ACTR5
9692	PRORP
10565	ARFGEF1
404734	ANKHD1-EIF4EBP3
9404	LPXN
833	CARS
2272	FHIT
6829	SUPT5H
6198	RPS6KB1
56965	PARP6
80152	CENPT
9994	CASP8AP2
8801	SUCLG2
6844	VAMP2
3707	ITPKB
10892	MALT1
5189	PEX1
26137	ZBTB20
378805	LINC-PINT
283537	SLC46A3
924	CD7
93210	PGAP3
8726	EED
7248	TSC1
5696	PSMB8
80146	UXS1
11322	TMC6
8906	AP1G2
10730	YME1L1
3603	IL16
4094	MAF
6293	VPS52
375056	MIA3
11127	KIF3A
51004	COQ6
9669	EIF5B
57215	THAP11
9790	BMS1
10286	BCAS2
51185	CRBN
285830	HLA-F-AS1
23033	DOP1A
51105	PHF20L1
54780	NSMCE4A
51455	REV1
55718	POLR3E
23020	SNRNP200
54884	RETSAT
51561	IL23A
27244	SESN1
22796	COG2
10466	COG5
92	ACVR2A
51665	ASB1
23098	SARM1
4931	NVL
51669	SARAF
55692	LUC7L
868	CBLB
79155	TNIP2
51593	SRRT
10641	NPRL2
51385	ZNF589
6404	SELPLG
4714	NDUFB8
55253	TYW1
4496	MT1H
22909	FAN1
64784	CRTC3
27086	FOXP1
3105	HLA-A
23523	CABIN1
7074	TIAM1
3669	ISG20
442232	RPL17P25
9797	TATDN2
55744	COA1
55703	POLR3B
10456	HAX1
54980	C2orf42
51380	CSAD
51367	POP5
474344	GIMAP6
23451	SF3B1
84124	ZNF394
6936	GCFC2
2308	FOXO1
4595	MUTYH
7852	CXCR4
55843	ARHGAP15
55729	ATF7IP
23318	TUT4
8737	RIPK1
51542	VPS54
55700	MAP7D1
6832	SUPV3L1
120526	DNAJC24
135	ADORA2A
5603	MAPK13
55209	SETD5
117247	SLC16A10
2323	FLT3LG
9595	CYTIP
7840	ALMS1
55769	ZNF83
23271	CAMSAP2
79726	WDR59
22891	ZNF365
55510	DDX43
2804	GOLGB1
9360	PPIG
4123	MAN2C1
6310	ATXN1
23586	DDX58
57148	RALGAPB
9368	SLC9A3R1
51117	COQ4
103	ADAR
89941	RHOT2
694	BTG1
256987	SERINC5
5238	PGM3
10724	OGA
54856	GON4L
1952	CELSR2
4548	MTR
9575	CLOCK
9474	ATG5
3561	IL2RG
57244	NA
5705	PSMC5
10307	APBB3
1027	CDKN1B
7175	TPR
55537	NA
57730	ANKRD36B
54606	DDX56
25900	IFFO1
10390	CEPT1
755	CFAP410
5689	PSMB1
4848	CNOT2
6942	TCF20
51531	TRMO
6166	RPL36AL
4951	OCM2
26512	INTS6
23171	GPD1L
5613	PRKX
23041	MON2
6234	RPS28
23029	RBM34
23473	CAPN7
10219	KLRG1
64745	METTL17
285190	RGPD4
6891	TAP2
51752	ERAP1
6904	TBCD
1828	DSG1
8893	EIF2B5
10985	GCN1
10379	IRF9
64429	ZDHHC6
80135	RPF1
56941	HMCES
26984	SEC22A
10000	AKT3
51451	LCMT1
4008	LMO7
26273	FBXO3
10181	RBM5
9047	SH2D2A
2287	FKBP3
9321	TRIP11
51174	TUBD1
8904	CPNE1
959	CD40LG
27252	KLHL20
60312	AFAP1
10973	ASCC3
23200	ATP11B
585	BBS4
5395	PMS2
55246	CCDC25
79830	ZMYM1
23370	ARHGEF18
8450	CUL4B
3831	KLC1
4600	MX2
55006	TRMT61B
2800	GOLGA1
65117	RSRC2
6627	SNRPA1
8851	CDK5R1
824	CAPN2
79951	NA
25939	SAMHD1
23438	HARS2
23063	WAPL
26229	B3GAT3
5562	PRKAA1
1844	DUSP2
8454	CUL1
79573	TTC13
5128	CDK17
51031	GLOD4
114791	TUBGCP5
92482	BBIP1
126037	EEF1DP1
1534	CYB561
54878	DPP8
55556	ENOSF1
4729	NDUFV2
23549	DNPEP
8509	NDST2
285203	EOGT
2339	FNTA
63940	GPSM3
23131	GPATCH8
25909	AHCTF1
6047	RNF4
23398	PPWD1
309	ANXA6
79684	MSANTD2
55671	PPP4R3A
28951	TRIB2
23048	FNBP1
55802	DCP1A
56983	POGLUT1
23787	MTCH1
960	CD44
7881	KCNAB1
5016	OVGP1
23347	SMCHD1
9751	SNPH
26190	FBXW2
81539	SLC38A1
10365	KLF2
57240	NA
84162	KIAA1109
9750	RIPOR2
10585	POMT1
27347	STK39
9139	CBFA2T2
1936	EEF1D
23248	RPRD2
4047	LSS
57403	RAB22A
23113	CUL9
158	ADSL
1493	CTLA4
4798	NFRKB
57194	ATP10A
10531	PITRM1
6944	VPS72
7841	MOGS
282997	PDCD4-AS1
23353	SUN1
4670	HNRNPM
728642	CDK11A
8934	RAB29
10127	ZNF263
10807	ENTR1
8890	EIF2B4
55154	MSTO1
4820	NKTR
50509	COL5A3
5616	PRKY
27332	ZNF638
22883	CLSTN1
1060	CENPC
9054	NFS1
9442	MED27
51773	RSF1
4493	MT1E
60487	TRMT11
6625	SNRNP70
23066	CAND2
57404	CYP20A1
26128	KIF1BP
79868	ALG13
4862	NPAS2
9924	PAN2
7174	TPP2
10899	JTB
7109	TRAPPC10
114932	MRFAP1L1
64772	ENGASE
1778	DYNC1H1
10781	ZNF266
546	ATRX
7456	WIPF1
9710	KIAA0355
6990	DYNLT3
22850	ADNP2
4899	NRF1
220686	NA
51098	IFT52
9716	AQR
22992	KDM2A
51411	BIN2
23506	BICRAL
58487	CREBZF
23315	SLC9A8
8504	PEX3
150759	LINC00342
11311	VPS45
4502	MT2A
2664	GDI1
80003	PCNX2
55080	TAPBPL
60561	RINT1
10250	SRRM1
51742	ARID4B
10865	ARID5A
53827	FXYD5
9960	USP3
7073	TIAL1
23245	ASTN2
5900	RALGDS
60560	NAA35
29097	CNIH4
389240	NACA3P
11238	CA5B
64112	MOAP1
10133	OPTN
7067	THRA
8651	SOCS1
2803	GOLGA4
9049	AIP
55707	NECAP2
55779	CFAP44
25865	PRKD2
64062	RBM26
56882	CDC42SE1
9452	ITM2A
1739	DLG1
23774	BRD1
92822	ZNF276
94134	ARHGAP12
5636	PRPSAP2
3683	ITGAL
25816	TNFAIP8
123720	WHAMM
414060	TBC1D3C
4276	NA
130916	MTERF4
54509	RHOF
9184	BUB3
545	ATR
79893	GGNBP2
6597	SMARCA4
2100	ESR2
8446	DUSP11
8233	ZRSR2
51710	ZNF44
5903	RANBP2
8498	RANBP3
55695	NSUN5
474170	LRRC37A2
55296	TBC1D19
1513	CTSK
5431	POLR2B
5930	RBBP6
8277	TKTL1
355	FAS
4690	NCK1
54520	CCDC93
955	ENTPD6
9938	ARHGAP25
57680	CHD8
158160	HSD17B7P2
119016	AGAP4
55506	H2AFY2
50488	MINK1
58486	ZBED5
22806	IKZF3
201725	C4orf46
54910	SEMA4C
53343	NUDT9
9736	USP34
55667	DENND4C
11066	SNRNP35
55778	ZNF839
10628	TXNIP
55333	SYNJ2BP
51096	UTP18
79902	NUP85
9263	STK17A
9326	ZNHIT3
283970	PDXDC2P-NPIPB14P
6901	TAZ
23508	TTC9
3653	IPW
10868	USP20
90864	SPSB3
1195	CLK1
8674	VAMP4
80774	LIMD2
9701	PPP6R2
6526	SLC5A3
25776	CBY1
63916	ELMO2
23379	ICE1
64682	ANAPC1
94104	PAXBP1
79970	ZNF767P
23225	NUP210
837	CASP4
442871	NA
23016	EXOSC7
55763	EXOC1
49855	SCAPER
7318	UBA7
6903	TBCC
60625	DHX35
84060	RBM48
23014	FBXO21
728661	SLC35E2B
9860	LRIG2
5829	PXN
8514	KCNAB2
79837	PIP4K2C
55830	GLT8D1
23036	ZNF292
54093	SETD4
3661	IRF3
171392	ZNF675
8764	TNFRSF14
3106	HLA-B
6468	FBXW4
7166	TPH1
11188	NISCH
23162	MAPK8IP3
23272	TASOR
9733	SART3
11214	AKAP13
65980	BRD9
80335	WDR82
8473	OGT
112398	EGLN2
153914	NA
23140	ZZEF1
3587	IL10RA
6416	MAP2K4
1846	DUSP4
2071	ERCC3
51729	WBP11
54916	TMEM260
550	AUP1
7994	KAT6A
10659	CELF2
1043	CD52
7043	TGFB3
7541	ZBTB14
10913	EDAR
26589	MRPL46
9440	MED17
5378	PMS1
9913	SUPT7L
896	CCND3
10180	RBM6
1677	DFFB
4240	MFGE8
51191	HERC5
3384	ICAM2
81545	FBXO38
10073	SNUPN
7409	VAV1
23077	MYCBP2
3135	HLA-G
22980	TCF25
84901	NFATC2IP
6729	SRP54
54808	DYM
8554	PIAS1
9391	CIAO1
643314	KIAA0754
51275	MAPKAPK5-AS1
1974	EIF4A2
8883	NAE1
10482	NXF1
25926	NOL11
6117	RPA1
22887	FOXJ3
3945	LDHB
6786	STIM1
11146	GLMN
79686	NA
25983	NGDN
9904	RBM19
25957	PNISR
10479	SLC9A6
8165	AKAP1
5965	RECQL
117155	CATSPER2
80279	CDK5RAP3
9759	HDAC4
64132	XYLT2
51276	ZNF571
55761	TTC17
55857	KIZ
51230	PHF20
79809	TTC21B
116984	ARAP2
4552	MTRR
6125	RPL5
25977	NECAP1
7181	NR2C1
54872	PIGG
23142	DCUN1D4
9270	ITGB1BP1
10142	AKAP9
10520	ZNF211
64328	XPO4
5590	PRKCZ
11044	TENT4A
55809	TRERF1
55152	DALRD3
51433	ANAPC5
29777	ABT1
10505	SEMA4F
171586	ABHD3
55191	NADSYN1
8434	RECK
54934	KANSL2
6728	SRP19
25836	NIPBL
3551	IKBKB
80762	NDFIP1
3983	ABLIM1
80209	PROSER1
5293	PIK3CD
79706	PRKRIP1
256949	KANK3
54900	LAX1
55656	INTS8
3416	IDE
6015	RING1
10016	PDCD6
65258	MPPE1
54807	ZNF586
144699	FBXL14
51326	ARL17A
6651	SON
9031	BAZ1B
7750	ZMYM2
54518	APBB1IP
54847	SIDT1
330	BIRC3
6432	SRSF7
23210	JMJD6
4850	CNOT4
51592	TRIM33
3964	LGALS8
23067	SETD1B
11151	CORO1A
4293	MAP3K9
5607	MAP2K5
3486	IGFBP3
4756	NEO1
29102	DROSHA
55252	ASXL2
5826	ABCD4
10671	DCTN6
7580	ZNF32
79068	FTO
54800	KLHL24
81566	CSRNP2
6654	SOS1
29083	GTPBP8
152100	CMC1
79960	JADE1
10782	ZNF274
8658	TNKS
80196	RNF34
29990	PILRB
29761	USP25
58517	RBM25
55745	AP5M1
8857	FCGBP
58533	SNX6
80024	SLC8B1
1453	CSNK1D
3133	HLA-E
79078	C1orf50
55294	FBXW7
57147	SCYL3
56253	CRTAM
961	CD47
5019	OXCT1
56252	YLPM1
80184	CEP290
962	CD48
2342	FNTB
286434	NA
22868	FASTKD2
26289	AK5
55661	DDX27
57214	CEMIP
874	CBR3
55167	MSL2
5192	PEX10
652526	NA
3035	HARS
730399	NA
79577	CDC73
56681	SAR1A
64427	TTC31
84859	LRCH3
20	ABCA2
64431	ACTR6
51202	DDX47
4124	MAN2A1
5152	PDE9A
5297	PI4KA
864	RUNX3
8480	RAE1
1407	CRY1
10992	SF3B2
2617	GARS
79707	NOL9
5521	PPP2R2B
55031	USP47
9416	DDX23
4012	LNPEP
8731	RNMT
54906	TASOR2
55657	ZNF692
10296	MAEA
93349	SP140L
839	CASP6
9798	IST1
84159	ARID5B
81894	SLC25A28
54581	SCAND2P
7507	XPA
26278	SACS
317648	NOP14-AS1
65983	GRAMD2B
29915	HCFC2
10244	RABEPK
55422	ZNF331
8867	SYNJ1
738	VPS51
55861	DBNDD2
11168	PSIP1
56829	ZC3HAV1
51585	PCF11
57612	ERV3-2
8453	CUL2
55863	TMEM126B
54700	RRN3
2588	GALNS
9840	TESPA1
23157	SEPTIN6
730051	ZNF814
57763	ANKRA2
51463	GPR89B
244	NA
2186	BPTF
29080	CCDC59
8742	TNFSF12
22882	ZHX2
4141	MARS
339005	WHAMMP3
25875	LETMD1
23499	MACF1
10938	EHD1
445347	TARP
51321	AMZ2
285282	RABL3
5894	RAF1
7536	SF1
27250	PDCD4
3716	JAK1
6232	RPS27
1951	CELSR3
2869	GRK5
79982	DNAJB14
22900	CARD8
56926	NCLN
26009	ZZZ3
8545	CGGBP1
984	CDK11B
79872	CBLL1
10153	CEBPZ
51135	IRAK4
5927	KDM5A
55787	TXLNG
64092	SAMSN1
9252	RPS6KA5
9794	MAML1
22986	SORCS3
9668	ZNF432
23731	TMEM245
25988	HINFP
8487	GEMIN2
23032	USP33
7375	USP4
55680	RUFY2
27074	LAMP3
23524	SRRM2
56898	BDH2
55023	PHIP
65083	NOL6
23054	NCOA6
51439	FAM8A1
128553	TSHZ2
84726	PRRC2B
57018	CCNL1
4627	MYH9
51409	HEMK1
7049	TGFBR3
30836	DNTTIP2
51019	WASHC3
64417	TMEM267
54503	ZDHHC13
7479	WNT8B
11215	AKAP11
10131	TRAP1
9988	DMTF1
9949	AMMECR1
55909	BIN3
10270	AKAP8
23261	CAMTA1
80198	MUS81
8846	ALKBH1
7799	PRDM2
55206	SBNO1
7277	TUBA4A
81606	LBH
91746	YTHDC1
23300	ATMIN
2580	GAK
81855	SFXN3
4528	MTIF2
64425	POLR1E
51399	TRAPPC4
57019	CIAPIN1
8813	DPM1
6389	SDHA
26031	OSBPL3
115	ADCY9
55722	CEP72
5551	PRF1
9667	SAFB2
54540	FAM193B
64601	VPS16
5187	PER1
2521	FUS
10771	ZMYND11
22838	RNF44
28232	SLCO3A1
567	B2M
4154	MBNL1
3455	IFNAR2
64149	C17orf75
9730	DCAF1
57396	CLK4
56948	SDR39U1
10198	MPHOSPH9
27352	SGSM3
925	CD8A
51427	ZNF107
5788	PTPRC
9489	PGS1
55125	CEP192
27340	UTP20
55153	SDAD1
1850	DUSP8
50649	ARHGEF4
84942	WDR73
79903	NAA60
2123	EVI2A
1616	DAXX
338427	SNORD108
7188	TRAF5
57241	NA
55229	PANK4
55844	PPP2R2D
10556	RPP30
79364	ZXDC
4999	ORC2
26091	HERC4
8888	MCM3AP
202	CRYBG1
27438	NA
57634	EP400
64219	PJA1
9611	NCOR1
9409	PEX16
80314	EPC1
6137	RPL13
51281	ANKMY1
9204	ZMYM6
4591	TRIM37
51372	TMA7
23335	WDR7
54952	TRNAU1AP
23285	KIAA1107
5698	PSMB9
8148	TAF15
5721	PSME2
55127	HEATR1
56650	CLDND1
26276	VPS33B
55299	BRIX1
23309	SIN3B
23360	FNBP4
6429	SRSF4
9885	OSBPL2
9516	LITAF
56339	METTL3
11180	WDR6
79716	NPEPL1
5130	PCYT1A
10713	USP39
5621	PRNP
10473	HMGN4
11266	DUSP12
26003	GORASP2
26057	ANKRD17
64848	YTHDC2
388907	RPL5P34
9170	LPAR2
284040	CDRT4
84223	IQCG
5412	UBL3
9169	SCAF11
7110	TMF1
23522	KAT6B
55602	CDKN2AIP
51547	SIRT7
2475	MTOR
161527	NA
1478	CSTF2
440026	TMEM41B
3652	IPP
51374	ATRAID
8539	API5
6480	ST6GAL1
25873	RPL36
1659	DHX8
23125	CAMTA2
178	AGL
5001	ORC5
6734	SRPRA
65005	MRPL9
79758	DHRS12
3566	IL4R
27034	ACAD8
51604	PIGT
6206	RPS12
5469	MED1
55325	UFSP2
54953	ODR4
6493	SIM2
5394	EXOSC10
60626	RIC8A
22950	SLC4A1AP
8702	B4GALT4
23195	MDN1
222161	DKFZP586I1420
79587	CARS2
285527	FRYL
23780	APOL2
79003	MIS12
9217	VAPB
55275	VPS53
9749	PHACTR2
54541	DDIT4
9666	DZIP3
10075	HUWE1
2841	GPR18
55578	SUPT20H
388886	LRRC75B
6294	SAFB
4155	MBP
29997	NOP53
5108	PCM1
79145	CHCHD7
29928	TIMM22
170626	XAGE3
92595	ZNF764
5214	PFKP
92249	LINC01278
9060	PAPSS2
7690	ZNF131
26036	ZNF451
23443	SLC35A3
23344	ESYT1
5584	PRKCI
5706	PSMC6
55699	IARS2
24139	EML2
6257	RXRB
51035	UBXN1
29072	SETD2
3895	KTN1
10144	FAM13A
10916	MAGED2
51125	GOLGA7
4179	CD46
5116	PCNT
8621	CDK13
84705	GTPBP3
64761	PARP12
26230	TIAM2
55623	THUMPD1
7048	TGFBR2
23064	SETX
80167	ABHD18
8642	DCHS1
3726	JUNB
54851	ANKRD49
6018	RLF
10061	ABCF2
643854	CTAGE9
29068	ZBTB44
7360	UGP2
79848	CSPP1
23137	SMC5
23240	TMEM131L
53371	NUP54
3688	ITGB1
5790	PTPRCAP
2938	GSTA1
23141	ANKLE2
23117	NPIPB3
4495	MT1G
25820	ARIH1
10926	DBF4
2961	GTF2E2
9295	SRSF11
54870	QRICH1
9238	TBRG4
10147	SUGP2
285189	PLGLA
80215	RUNX1-IT1
55052	MRPL20
5612	THAP12
10048	RANBP9
64780	MICAL1
26959	HBP1
66036	MTMR9
25963	TMEM87A
55737	VPS35
57446	NDRG3
80895	ILKAP
9330	GTF3C3
7707	ZNF148
7753	ZNF202
9107	MTMR6
10427	SEC24B
11201	POLI
55709	KBTBD4
3482	IGF2R
27334	P2RY10
4841	NONO
9093	DNAJA3
23163	GGA3
23081	KDM4C
727942	NA
5569	PKIA
79161	TMEM243
6606	SMN1
58478	ENOPH1
7776	ZNF236
23112	TNRC6B
9631	NUP155
55367	PIDD1
8569	MKNK1
9739	SETD1A
79897	RPP21
26088	GGA1
11158	RABL2B
1455	CSNK1G2
80007	C10orf88
729806	ZNF731P
10007	GNPDA1
1655	DDX5
284443	ZNF493
55900	ZNF302
80012	PHC3
9466	IL27RA
6259	RYK
51389	RWDD1
5565	PRKAB2
36	ACADSB
8287	USP9Y
27292	DIMT1
388237	NA
10636	RGS14
25992	SNED1
79664	ICE2
9884	LRRC37A
9533	POLR1C
8837	CFLAR
3187	HNRNPH1
23595	ORC3
64786	TBC1D15
84243	ZDHHC18
26024	PTCD1
27010	TPK1
23019	CNOT1
317762	CCDC85C
4092	SMAD7
10772	SRSF10
54663	WDR74
117246	FTSJ3
80149	ZC3H12A
57097	PARP11
3189	HNRNPH3
23483	TGDS
23167	EFR3A
4338	MOCS2
6122	RPL3
55743	CHFR
440193	CCDC88C
23534	TNPO3
5970	RELA
5825	ABCD3
642741	RPL3P7
11040	PIM2
3423	IDS
9841	ZBTB24
51805	COQ3
5996	RGS1
5283	PIGH
23230	VPS13A
54455	FBXO42
23479	ISCU
10989	IMMT
8916	HERC3
399491	NA
6181	RPLP2
1155	TBCB
2948	GSTM4
54925	ZSCAN32
5316	PKNOX1
55624	POMGNT1
6322	SCML1
10291	SF3A1
5631	PRPS1
6301	SARS
23082	PPRC1
10922	FASTK
150472	CBWD2
6503	SLA
23165	NUP205
54877	ZCCHC2
64236	PDLIM2
3609	ILF3
64750	SMURF2
54902	TTC19
8220	ESS2
5432	POLR2C
51611	DPH5
5272	SERPINB9
6789	STK4
64174	DPEP2
152006	RNF38
84830	ADTRP
196441	ZFC3H1
23383	MAU2
10450	PPIE
5277	PIGA
10884	MRPS30
51567	TDP2
5315	PKM
6156	RPL30
25782	RAB3GAP2
51112	TRAPPC12
4686	NCBP1
6733	SRPK2
5342	PLGLB2
7596	ZNF45
79663	HSPBAP1
28986	MAGEH1
6595	SMARCA2
653238	GTF2H2B
23334	SZT2
10209	EIF1
3659	IRF1
1911	PHC1
79918	SETD6
969	CD69
7919	DDX39B
55790	CSGALNACT1
55585	UBE2Q1
84864	RIOX2
5635	PRPSAP1
57212	TP73-AS1
51720	UIMC1
889	KRIT1
81552	VOPP1
3820	KLRB1
