cd.name	ncbi.symbol	gene.name	ncbi.aliases
CD47	CD47	CD47	IAP;MER6;OA3
CD48	CD48	CD48	BCM1;BLAST;BLAST1;MEM-102;SLAMF2;hCD48;mCD48
CD49a	ITGA1	CD49A	CD49a;VLA1
CD49b	ITGA2	CD49B	BR;CD49B;VLAA2
CD49c	ITGA3	CD49C	CD49C;GAP-B3;GAPB3;MSK18;VCA-2;VL3A;VLA3a
CD49d	ITGA4	CD49D	CD49D
CD49e	ITGA5	CD49E	CD49e;FNRA;VLA5A
CD49f	ITGA6	CD49F	CD49f
CD50	ICAM3	CD50	CD50;CDW50;ICAM-R
CD51	ITGAV	CD51	CD51;MSK8;VNRA
CD52	CD52	CD52	CD52
CD53	CD53	CD53	MOX44
CD54	ICAM1	CD54	BB2;CD54
CD55	DAF	CD55	CD55;CR;TC
CD56	NCAM1	CD56	CD56;MSK39;NCAM
CD57	CD57	CD57	HNK-1;LEU7;NK-1
CD58	CD58	CD58	LFA3
CD59	CD59	CD59	MGC2354;MIC11;MIN1;MIN2;MIN3;MSK21;PROTECTIN
CD61	ITGB3	CD61	CD61;GP3A;GPIIIa
CD62E	SELE	CD62E	CD62E;ELAM;ELAM1;ESEL;LECAM2
CD62L	SELL	CD62L	CD62L;LAM-1;LAM1;LECAM1;LNHR;LSEL;LYAM1;Leu-8;Lyam-1;PLNHR;TQ1;hLHRc
CD62P	SELP	CD62P	CD62;CD62P;GMP140;GRMP;PADGEM;PSEL
CD63	CD63	CD63	LAMP-3;ME491;MLA1;OMA81H
CD64a	FCGR1A	CD64	CD64;FCRI;IGFR1
CD66a	CEACAM1	CD66A	BGP;BGP1;BGPI;CD66;CD66A
CD66b	CEACAM8	CD66b	CD66b;CD67;CGM6;NCA-95
CD66c	CEACAM6	CD66c	CD66c;CEAL;NCA
CD66d	CEACAM3	CD66D	CD66D;CGM1
CD66e	CEACAM5	CD66E	CD66e;CEA
CD66f	PSG1	CD66F	B1G1;CD66f;PBG1;PSBG1;PSGGA;SP1
CD68	CD68	CD68	SCARD1
CD69	CD69	CD69	none
CD70	TNFSF7	CD70	CD27L;CD27LG;CD70
CD71	TFRC	CD71	CD71;TFR;TRFR
CD72	CD72	CD72	LYB2
CD73	NT5E	CD73	CD73;E5NT;NT5;NTE;eN;eNT
CD74	CD74	CD74	DHLAG;HLADG;Ia-GAMMA
CD79a	CD79A	CD79a	MB-1
CD79b	CD79B	CD79B	B29;IGB
CD80	CD80	CD80	B-lymphocyteactivationantigenB7;B7-1;B7.1
CD81	CD81	CD81	S5.7;TAPA1
CD82	CD82	CD82	4F9;C33;CD82;GR15;IA4;R2;SAR2;ST6
CD83	CD83	CD83	BL11;HB15
CD84	CD84	CD84	LY9B;SLAMF5;hCD84;mCD84
CD85A	LILRB3	CD85A	CD85A;HL9;ILT5;LIR-3;LIR3
CD85B	LILRB6	CD85B	LILRB6
CD85C	LILRB5	CD85C	CD85C;LIR-8;LIR8
CD85D	LILRB2	CD85D	CD85D;ILT4;LIR-2;LIR2;MIR-10;MIR10
CD85F	LILRB7	CD85F	CD85F;ILT11;LILRB7
CD85G	LILRA4	CD85G	ILT7;CD85g;MGC129597
CD85H	LILRA2	CD85H	CD85H;ILT1;LIR-7;LIR7
CD85I	LILRA1	CD85I	CD85I;LIR-6;LIR6
CD85J	LILRB1	CD85J	CD85;CD85J;ILT2;LIR-1;LIR1;MIR-7;MIR7
CD85K	LILRB4	CD85K	CD85K;HM18;ILT3;LIR-5;LIR5
CD85M	LILRP2	CD85M	CD85m;ILT10;LILRA5
CD86	CD86	CD86	B7-2;B70;CD28LG2;LAB72;MGC34413
CD87	PLAUR	CD87	CD87;UPAR;URKR
CD88	C5R1	CD88	C5A;C5AR;CD88
CD89	FCAR	CD89	CD89
CD90	THY1	CD90	CD90
CD91	LRP1	CD91	A2MR;APOER;APR;CD91;LRP
CD92	SLC44A1	CD92	CTL1;CDW92;CHTL1;RP11-287A8.1
CD93	CD93	CD93	C1QR1;C1qRP;CDw93;MXRA4;C1qR(P);dJ737E23.1
CD94	KLRD1	CD94	CD94
CD95	FAS	CD95	APT1;CD95;FAS1;APO-1;FASTM;ALPS1A;TNFRSF6
CD96	CD96	CD96	MGC22596;TACTILE
CD97	CD97	CD97	TM7LN1
CD98	SLC3A2	CD98	4F2;4F2HC;4T2HC;CD98;MDU1;NACAE
CD99	CD99	CD99	MIC2;MIC2X;MIC2Y
CD100	SEMA4D	CD100	CD100;M-semaG;M-sema-G;SEMAJ;coll-4
CD101	IGSF2	CD101	CD101;V7
CD102	ICAM2	CD102	CD102
CD103	ITGAE	CD103	CD103;HUMINAE
CD104	ITGB4	CD104	none
CD105	ENG	CD105	CD105;END;HHT1;ORW;ORW1
CD106	VCAM1	CD106	INCAM-100
CD107a	LAMP1	CD107A	CD107a;LAMPA;LGP120
CD107b	LAMP2	CD107B	CD107b;LAMPB
CD108	SEMA7A	CD108	CD108;CDw108;H-SEMA-K1;H-SemaK1;H-Sema-L;SEMAK1;SEMAL
CD109	CD109	CD109	DKFZp762L1111;FLJ38569
CD110	MPL	CD110	C-MPL;CD110;MPLV;TPOR
CD111	PVRL1	CD111	CD111;CLPED1;ED4;HIgR;HVEC;PRR;PRR1;PVRR;PVRR1;SK-12
CD112	PVRL2	CD112	CD112;HVEB;PRR2;PVRR2
CD113	PVRL3	CD113	PVTL3;PPR3;PRR3;PVRR3;nectin-3;DKFZP566B0846
CD114	CSF3R	CD114	CD114;GCSFR
CD115	CSF1R	CD115	C-FMS;CD115;CSFR;FIM2;FMS
CD116	CSF2RA	CD116	CD116;CDw116;CSF2R;CSF2RAX;CSF2RAY;CSF2RX;CSF2RY;GM-CSF-R-alpha;GMCSFR;GMR;MGC3848;MGC4838
CD117	KIT	CD117	CD117;PBT;SCFR
CD118	LIFR	CD118	LIFR;SWS;SJS2;STWS
CD119	IFNGR1	CD119	CD119;IFNGR
CD120a	TNFRSF1A	CD120A	CD120a;FPF;MGC19588;TBP1;TNF-R;TNF-R-I;TNF-R55;TNFAR;TNFR1;TNFR55;TNFR60;p55;p55-R;p60
CD120b	TNFRSF1B	CD120B	CD120b;TBPII;TNF-R-II;TNF-R75;TNFBR;TNFR2;TNFR80;p75;p75TNFR
CD121a	IL1R1	CD121A	CD121A;D2S1473;IL-1R-alpha;IL1R;IL1RA;P80
CD121b	IL1R2	CD121B	IL1RB;MGC47725
CD122	IL2RB	CD122	P70-75
CD123	IL3RA	CD123	CD123;IL3R;IL3RAY;IL3RX;IL3RY;MGC34174;hIL-3Ra
CD124	IL4R	CD124	CD124;IL4RA
CD125	IL5RA	CD125	CDw125;HSIL5R3;IL5R;MGC26560
CD126	IL6R	CD126	CD126;IL-6R-1;IL-6R-alpha;IL6RA
CD127	IL7R	CD127	CD127;CDW127;IL-7R-alpha
CD129	IL9R	CD129	none
CD130	IL6ST	CD130	CD130;CDw130;GP130;GP130-RAPS;IL6R-beta
CD131	CSF2RB	CD131	CD131;CDw131;IL3RB;IL5RB
CD132	IL2RG	CD132	CD132;IMD4;SCIDX;SCIDX1
CD133	PROM1	CD133	AC133;CD133;PROML1
CD134	TNFRSF4	CD134	ACT35;CD134;OX40;TXGP1L
CD135	FLT3	CD135	CD135;FLK2;STK1
CD136	MST1R	CD136	CDw136;RON
CD137	TNFRSF9	CD137	4-1BB;CD137;CDw137;ILA;MGC2172
CD138	SDC1	CD138	CD138;SDC;SYND1
CD139	CD139	CD139	none
CD140a	PDGFRA	CD140A	CD140A;PDGFR2
CD140b	PDGFRB	CD140B	CD140B;JTK12;PDGF-R-beta;PDGFR;PDGFR1
CD141	THBD	CD141	CD141;THRM;TM
CD142	F3	CD142	CD142;TF;TFA
CD143	ACE	CD143	ACE1;CD143;DCP;DCP1;MGC26566
CD144	CDH5	CD144	7B4
CDw145	CDw145	CDW145	notlisted
CD146	MCAM	CD146	CD146;MUC18
CD147	BSG	CD147	5F7;CD147;EMMPRIN;M6;OK;TCSF
CD148	PTPRJ	CD148	CD148;DEP1;HPTPeta;R-PTP-ETA;SCC1
CD150	SLAMF1	CD150	CD150;CDw150;SLAM
CD151	CD151	CD151	GP27;PETA-3;SFA1
CD152	CTLA4	CD152	CD152
CD153	TNFSF8	CD153	CD153;CD30L;CD30LG
CD154	CD40LG	CD154	CD154;CD40L;CD40LG;HIGM1;IGM;IMD3;T-BAM;TRAP;gp39;hCD40L
CD155	PVR	CD155	CD155;HVED;NECL5;PVS;TAGE4
CD156a	ADAM8	CD156A	CD156;MS2
CD156b	ADAM17	CD156B	CD156b;TACE;cSVP
CD156C	ADAM10	CD156C	kuz;MADM;CD156c;HsT18717
CD157	BST1	CD157	CD157
CD158A	KIR2DL1	CD158A	47.11;CD158A;CL-42;NKAT1;p58.1
CD158B1	KIR2DL2	CD158B1	CD158B1;CL-43;NKAT6;p58.2
CD158B2	KIR2DL3	CD158B2	CD158B2;CD158b;CL-6;KIR-023GB;NKAT2;NKAT2A;NKAT2B;p58
CD158C	KIR3DP1	CD158C	LOC392419
CD158C	KIR2DS6	CD158C	LOC392419
CD158C	KIRX	CD158C	LOC392419
CD158D	KIR2DL4	CD158D	103AS;15.212;CD158D;KIR103;KIR103AS
CD158E1	KIR3DL1	CD158E1	AMB11;CD158E1;CD158E1/2;CD158E2;CL-11;CL-2;KIR;KIR3DS1;NKAT10;NKAT3;NKB1;NKB1B
CD158E2	KIR3DS1	CD158E2	AMB11;CD158E1;CD158E1/2;CD158E2;CL-11;CL-2;KIR;KIR3DS1;NKAT10;NKAT3;NKB1;NKB1B
CD158F	KIR2DL5	CD158F	CD158F;KIR2DL5;KIR2DL5.1;KIR2DL5.3
CD158G	KIR2DS5	CD158G	CD158G;NKAT9
CD158H	KIR2DS1	CD158H	CD158H;EB6ActI;EB6ActII;p50.1
CD158I	KIR2DS4	CD158I	CD158I;KIR1D;KKA3;NKAT8;PAX;cl-39
CD158J	KIR2DS2	CD158J	183ACTI;CD158J;CL-49;NKAT5;p50.2
CD158K	KIR3DL2	CD158K	CD158K;CL-5;NKAT4;NKAT4A;NKAT4B
CD159a	KLRC1	CD159A	CD159A;MGC13374;MGC59791;NKG2;NKG2A
CD159c	KLRC2	CD159C	
CD160	CD160	CD160	BY55;NK1;NK28
CD161	KLRB1	CD161	CD161;NKR;NKR-P1;NKR-P1A;NKRP1A;hNKR-P1A
CD162	SELPLG	CD162	CD162;PSGL-1;PSGL1
CD163	CD163	CD163	M130;MM130
CD164	CD164	CD164	MGC-24;MUC-24;endolyn
CD165	CD165	CD165	none
CD166	ALCAM	CD166	CD166;MEMD
CD167a	DDR1	CD167A	CAK;CD167;DDR;EDDR1;MCK10;NEP;NTRK4;PTK3;PTK3A;RTK6;TRKE
CD167b	DDR2	CD167B	TKT;MIG20a;NTRKR3;TYRO10
CD168	HMMR	CD168	RHAMM
CD169	SN	CD169	CD169;FLJ00051;FLJ00055;FLJ00073;FLJ32150;SIGLEC-1;dJ1009E24.1
CD170	SIGLEC5	CD170	CD33L2;OB-BP2;OBBP2;SIGLEC-5
CD171	L1CAM	CD171	CAML1;CD171;HSAS;HSAS1;MASA;MIC5;N-CAML1;S10;SPG1
CD172a	PTPNS1	CD172A	BIT;MFR;MYD-1;P84;SHPS-1;SHPS1;SIRP;SIRP-ALPHA-1;SIRPalpha;SIRPalpha2
CD172b	SIRPB1	CD172B	SIRP-BETA-1
CD172g	SIRPB2	CD172G	SIRP-B2;bA77C3.1
CD174	FUT3	CD174	LE;Les
CD177	CD177	CD177	CD177;HNA2A;NB1
CD178	FASLG	CD178	FASL;CD178;CD95L;TNFSF6;APT1LG1
CD179a	VPREB1	CD179A	IGI;IGVPB;VPREB
CD179b	IGLL1	CD179B	14.1;CD179b;IGL1;IGL5;IGLL;IGO;IGVPB;VPREB2
CD180	CD180	CD180	LY64;Ly78;RP105;MGC126233;MGC126234
CD181	IL8RA	CD181	C-CCKR-1;C-C-CKR-1;CD128;CDw128a;CMKAR1;CXCR1;IL8R1;IL8RBA
CD182	IL8RB	CD182	CDw128b;CMKAR2;CXCR2;IL8R2;IL8RA
CD183	CXCR3	CD183	CD183;CKR-L2;CMKAR3;GPR9;IP10;IP10-R;Mig-R;MigR
CD184	CXCR4	CD184	D2S201E;HM89;HSY3RR;LAP3;LESTR;NPY3R;NPYR;NPYY3R;WHIM
CD185	BLR1	CD185	BLR1;CXCR5;MDR15
CD186	CXCR6	CD186	CXCR6;BONZO;STRL33;TYMSTR
CD191	CCR1	CD191	CKR-1;CMKBR1;HM145;MIP1aR;SCYAR1
CD192	CCR2	CD192	CC-CKR-2;CCR2A;CCR2B;CKR2;CKR2A;CKR2B;CMKBR2;MCP-1-R
CD193	CCR3	CD193	CC-CKR-3;CKR3;CMKBR3
CD194	CCR4	CD194	CC-CKR-4;CKR4;CMKBR4;ChemR13;HGCN
CD195	CCR5	CD195	CC-CKR-5;CCCKR5;CD195;CKR-5;CKR5;CMKBR5
CD196	CCR6	CD196	CCR6;BN-1;CKR6;DCR2;CKRL3;DRY-6;GPR29;CKR-L3;CMKBR6;GPRCY4;STRL22;GPR-CY4
CD197	CCR7	CD197	BLR2;CDw197;CMKBR7;EBI1
CD198	CCR8	CD198	CKR-L1;CKRL1;CMKBR8;CMKBRL2;CY6;GPR-CY6;TER1
CD199	CCR9	CD199	GPR-9-6;GPR28
CD200	CD200	CD200	MOX1;MOX2;MRC;OX-2
CD201	PROCR	CD201	CCCA;CCD41;EPCR;MGC23024;bA42O4.2
CD202b	TEK	CD202B	CD202B;TIE-2;TIE2;VMCM;VMCM1
CD203c	ENPP3	CD203C	B10;CD203c;NPP3;PD-IBETA;PDNP3
CD204	MSR1	CD204	SCARA1;SR-A;phSR1;phSR2
CD205	LY75	CD205	CLEC13B;DEC-205;GP200-MR6
CD206	MRC1	CD206	CLEC13D
CD207	CD207	CD207	LANGERIN
CD208	LAMP3	CD208	DC-LAMP;DCLAMP;LAMP;TSC403
CD209	CD209	CD209	CDSIGN;DC-SIGN;DC-SIGN1
CD210a	IL10RA	CD210A	CDW210A;HIL-10R;IL-10R1;IL10R
CD210b	IL10RB	CD210B	CDW210B;CRF2-4;CRFB4;D21S58;D21S66;IL-10R2
CD212	IL12RB1	CD212	IL-12R-BETA1;IL12RB;MGC34454
CD213a1	IL13RA1	CD213A1	IL-13Ra;NR4
CD213a2	IL13RA2	CD213A2	IL-13R;IL13BP
CD215	IL15RA	CD215	CD215;IL-15RA
CD217	IL17R	CD217	IL-17RA;IL17RA;MGC10262;hIL-17R
CD218a	IL18R1	CD218A	IL18R1;IL1RRP;IL-1Rrp
CD218b	IL18RAP	CD218B	IL18RAP;ACPL
CD220	INSR	CD220	none
CD221	IGF1R	CD221	JTK13
CD222	IGF2R	CD222	CD222;CIMPR;M6P-R;MPRI
CD223	LAG3	CD223	CD223
CD224	GGT1	CD224	CD224;D22S672;D22S732;GGT;GTG
CD225	IFITM1	CD225	Sep-27;CD225;IFI17;LEU13
CD226	CD226	CD226	DNAM-1;DNAM1;PTA1;TLiSA1
CD227	MUC1	CD227	CD227;EMA;PEM;PUM
CD228	MFI2	CD228	MAP97;MGC4856;MTF1
CD229	LY9	CD229	CD229;SLAMF3;hly9;mLY9
CD230	PRNP	CD230	ASCR;CJD;GSS;MGC26679;PRIP;PrP;PrP27-30;PrP33-35C;PrPc
CD231	TSPAN7	CD231	A15;CCG-B7;CD231;DXS1692E;MXS1;TALLA-1;TM4SF2b
CD232	PLXNC1	CD232	PLXN-C1;VESPR
CD233	SLC4A1	CD233	AE1;BND3;CD233;DI;EMPB3;EPB3;RTA1A;WD;WD1
CD234	DARC	CD234	CCBP1;DARC;GPD
CD235a	GYPA	CD235A	GPA;MN;MNS
CD235b	GYPB	CD235B	GPB;MNS;SS
CD236	GYPC	CD236	GE;GPC
CD238	KEL	CD238	none
CD239	LU	CD239	AU;BCAM;MSK19
CD240CE	RHCE	CD240CE	RH;RH30A;RHC;RHE;RHIXB;RHPI;Rh4;RhVI;RhVIII
CD240D	RHD	CD240D	CD240D;DIIIc;RH;RH30;RHCED;RHDVA(TT);RHPII;RHXIII;Rh30a;Rh4;RhII;RhK562-II;RhPI
CD241	RHAG	CD241	RH2;RH50A
CD242	ICAM4	CD242	LW
CD243	ABCB1	CD243	ABC20;CD243;CLCS;GP170;MDR1;P-gp;PGY1
CD244	CD244	CD244	2B4;NAIL;NKR2B4;Nmrk;SLAMF4
CD245	CD245	CD245	notlisted
CD246	ALK	CD246	none
CD247	CD247	CD247	CD3-ZETA;CD3H;CD3Q;TCRZ
CD248	CD248	CD248	CD164L1
CD249	ENPEP	CD249	APA;gp160;EAP
CD252	TNFSF4	CD252	TNFSF4;GP34;OX4OL;TXGP1;CD134L;OX-40L;OX40L
CD253	TNFSF10	CD253	Apo-2L;CD253;TL2;TRAIL
CD254	TNFSF11	CD254	ODF;OPGL;sOdf;CD254;OPTB2;RANKL;TRANCE;hRANKL2
CD256	TNFSF13	CD256	APRIL;TALL2;TRDL-1;UNQ383/PRO715
CD257	TNFSF13B	CD257	BAFF;BLYS;TALL-1;TALL1;THANK;TNFSF20;ZTNF4;deltaBAFF
CD258	TNFSF14	CD258	TNFSF14;LTg;TR2;HVEML;LIGHT
CD261	TNFRSF10A	CD261	Apo2,CD261,DR4,TRAILR-1
CD262	TNFRSF10B	CD262	CD262;DR5;KILLER;TRAIL-R2;TRICK2A;TRICKB
CD263	TNFRSF10C	CD263	CD263;DcR1;LIT;TRAILR3;TRID
CD264	TNFRSF10D	CD264	CD264;DcR2;TRAILR4;TRUNDD
CD265	TNFRSF11A	CD265	EOF;FEO;ODFR;OFE;PDB2;RANK;TRANCER
CD266	TNFRSF12A	CD266	TNFRSF12A;FN14;TWEAKR
CD267	TNFRSF13B	CD267	CVID;TACI;CD267;FLJ39942;MGC39952;MGC133214;TNFRSF14B
CD268	TNFRSF13C	CD268	BAFFR;CD268;BAFF-R;MGC138235
CD269	TNFRSF17	CD269	BCM;BCMA
CD270	TNFRSF14	CD270	ATAR;CD270;"herpesvirusentrymediator";HVEA;HVEM;LIGHTR;TR2
CD271	NGFR	CD271	NGFR;TNFRSF16;p75(NTR)
CD272	BTLA	CD272	BTLA1;FLJ16065
CD273	PDCD1LG2	CD273	PDCD1LG2;B7DC;Btdc;PDL2;PD-L2;PDCD1L2;bA574F11.2
CD274	CD274	CD274	B7-H;B7H1;PD-L1;PDCD1L1;PDL1
CD275	ICOSLG	CD275	B7-H2;B7H2;B7RP-1;B7RP1;GL50;ICOS-L;ICOSLG;KIAA0653;LICOS
CD276	CD276	CD276	B7H3
CD277	BTN3A1	CD277	BTF5;BT3.1
CD278	ICOS	CD278	AILIM;MGC39850
CD279	PDCD1	CD279	PD1;SLEB2;hPD-l
CD280	MRC2	CD280	MRC2;UPARAP;ENDO180;KIAA0709
CD281	TLR1	CD281	TLR1;TIL;rsc786;KIAA0012;DKFZp547I0610;DKFZp564I0682
CD282	TLR2	CD282	TIL4
CD283	TLR3	CD283	TLR3
CD284	TLR4	CD284	TOLL;hToll
CD286	TLR6	CD286	CD286
CD288	TLR8	CD288	TLR8
CD289	TLR9	CD289	none
CD290	TLR10	CD290	TLR10
CD292	BMPR1A	CD292	BMPR1A;ALK3;ACVRLK3
CD293	BMPR1B	CD293	BMPR1B;ALK6;ALK-6
CD294	GPR44	CD294	CRTH2
CD295	LEPR	CD295	LEPR;OBR
CD296	ART1	CD296	ART2;RT6
CD297	ART4	CD297	DO;DOK1;CD297;ART4
CD298	ATP1B3	CD298	ATP1B3;ATPB-3;FLJ29027
CD299	CLEC4M	CD299	DC-SIGN2;DC-SIGNR;DCSIGNR;HP10347;LSIGN;MGC47866
CD300a	CD300A	CD300A	CMRF-35-H9;CMRF35H;CMRF35H9;IRC1;IRC2;IRp60
CD300c	CD300c	CD300c	CMRF-35A;CMRF35A;CMRF35A1;LIR
CD301	CLEC10A	CD301	HML;HML2;CLECSF13;CLECSF14
CD302	CD302	CD302	DCL-1;BIMLEC;KIAA0022
CD303	CLEC4C	CD303	BDCA2;CLECSF11;DLEC;HECL;PRO34150;CLECSF7
CD304	NRP1	CD304	NRP;VEGF165R
CD305	LAIR1	CD305	LAIR-1
CD306	LAIR2	CD306	LAIR2
CD307a	FCRL1	CD307a	CD307a;FCRH1;IFGP1;IRTA5
CD307b	FCRL2	CD307b	CD307b;FCRH2;IRTA4
CD307c	FCRL3	CD307c	CD307c;FCRH3;IFGP3;IRTA3;SPAP2;SPAP2a;SPAP2b;SPAP2c;SPAP2d;SPAP2e
CD307d	FCRL4	CD307d	CD307d;FCRH4;IGFP2;IRTA1
CD307e	FCRL5	CD307e	BXMAS1;CD307e;FCRH5;IRTA2
CD309	KDR	CD309	KDR;FLK1;VEGFR;VEGFR2
CD312	EMR2	CD312	none
CD314	KLRK1	CD314	KLRK1;KLR;NKG2D;NKG2-D;D12S2489E
CD315	PTGFRN	CD315	PTGFRN;FPRP;EWI-F;CD9P-1;SMAP-6;FLJ11001;KIAA1436
CD316	IGSF8	CD316	IGSF8;EWI2;PGRL;CD81P3
CD317	BST2	CD317	none
CD318	CDCP1	CD318	CDCP1;FLJ22969;MGC31813
CD319	SLAMF7	CD319	19A;CRACC;CS1
CD320	CD320	CD320	8D6A;8D6
CD321	F11R	CD321	JAM;KAT;JAM1;JCAM;JAM-1;PAM-1
CD322	JAM2	CD322	C21orf43;VE-JAM;VEJAM
CD324	CDH1	CD324	Arc-1;CDHE;ECAD;LCAM;UVO
CD325	CDH2	CD325	CDHN;NCAD
CD326	TACSTD1	CD326	CO17-1A;EGP;EGP40;Ep-CAM;GA733-2;KSA;M4S1;MIC18;MK-1;TROP1;hEGP-2
CD327	SIGLEC6	CD327	CD33L;CD33L1;OBBP1;SIGLEC-6
CD328	SIGLEC7	CD328	p75;QA79;AIRM1;CDw328;SIGLEC-7;p75/AIRM1
CD329	SIGLEC9	CD329	CD329
CD331	FGFR1	CD331	FGFR1;H2;H3;H4;H5;CEK;FLG;FLT2;KAL2;BFGFR;C-FGR;N-SAM
CD332	FGFR2	CD332	FGFR2;BEK;JWS;CEK3;CFD1;ECT1;KGFR;TK14;TK25;BFR-1;K-SAM
CD333	FGFR3	CD333	FGFR3;ACH;CEK2;JTK4;HSFGFR3EX
CD334	FGFR4	CD334	FGFR4;TKF;JTK2;MGC20292
CD335	NCR1	CD335	LY94;NK-p46;NKP46
CD336	NCR2	CD336	LY95;NK-p44;NKP44
CD337	NCR3	CD337	1C7;LY117;NKp30
CD338	ABCG2	CD338	MRX;MXR;ABCP;BCRP;BMDP;MXR1;ABC15;BCRP1;CDw338;EST157481;MGC102821
CD339	JAG1	CD339	JAG1;AGS;AHD;AWS;HJ1;JAGL1
CD340	ERBB2	CD340	NEU;NGL;HER2;TKR1;HER-2;c-erbB2;HER-2/neu
CD344	FZD4	CD344	EVR1;FEVR;Fz-4;FzE4;GPCR;FZD4S;MGC34390
CD349	FZD9	CD349	FZD3
CD350	FZD10	CD350	FzE7;FZ-10;hFz10
CD351	FCAMR	CD351	CD351;FCA/MR;FKSG87
CD352	SLAMF6	CD352	CD352;KALI;KALIb;Ly108;NTB-A;NTBA;SF2000
CD353	SLAMF8	CD353	BLAME;CD353;SBBI42
CD354	TREM1	CD354	CD354;TREM-1
CD355	CRTAM	CD355	CD355;"classIMHCrestrictedTcellassociatedmolecule"
CD357	TNFRSF18	CD357	AITR;CD357;GITR
CD358	TNFRSF21	CD358	CD358;"deathreceptor6";DR6
CD360	IL21R	CD360	CD360
CD361	EVI2B	CD361	CD361;D17S376;EVDB
CD362	SDC2	CD362	CD362;fibroglycan;SYND2;"syndecanproteoglycan2"
CD363	S1PR1	CD363	CD363;D1S3362;edg-1
CD364	PI16	CD364	dJ90K10.5;MGC45378;
CD365	HAVCR1	CD365	HAVCR,HAVCR-1,T-cellimmunoglobulinmucinfamilymember1,TIM-1,TIMD1
CD366	HAVCR2	CD366	T-cellimmunoglobulinmucinfamilymember3,TIM-3,TIMD3
CD367	CLEC4A	CD367	DCIR,DDB27,CLECSF6
CD368	CLEC4D	CD368	MCL,CLECSF8,CLEC-6,MPCL
CD369	CLEC7A	CD369	DECTIN-1,CLECSF12,
CD370	CLEC9A	CD370	HEEE9341,UNQ9341,DNGR1
CD371	CLEC12A	CD371	CLL-1,MICL,DCAL-2
