Table S4. List of gene signatures; sources for T cell signatures are stated in STAR Methods; M1 and M2 signatures are listed with sources in second and third sheet with references on the fourth sheet

Treg	CD8 T Cell Activation	Anti-inflammatory	Anergy	Pro inflammatory	Lipid mediators	Glycolysis	TCA cycle	Pentose Phosphate Pathway	Glycogen Metabolism	Glucose Deprivation	M1 Macrophage Polarization	M2 Macrophage Polarization	Cytolytics effector pathway	Type I Interferon response	Type II Interferon Response	Hypoxia/HIF regulated	TCell Terminal Differentiation	G1/S	G2/M
					IGFBP4						HLA-DR	TGFB3				MAP3K5		H2BFM	
					IGFBP6						CD205	MMP14				MAP2K1		H2BFS	
					IGFBP7						CD14	MMP19				MAP2K2		H2BFWT	
					IL1b							MMP9				MIF		H2BFXP	
					IL6							CLEC7A				NFATC1		H3F3A	
					IL10							WNT7B				NFKB2		H3F3AP1	
					IL11							FASL				NFKBIE		H3F3AP2	
					INS							TNFSF12				P53		H3F3B	
					LEP							TNFSF8				TGM6		H3F3C	
					LIF							CD276				TNF		HIST1H1A	
					NGAL							VTCN1				TNFRSF1B		HIST1H1B	
					MCSF							MSR1				TRADD		HIST1H1C	
					MIF							FN1				TRAIL		HIST1H1D	
					MPO							IRF4				TRAP1		HIST1H1E	
					GHRL							CD45				VEGF		HIST1H1PS1	
					GHSR							CD68						HIST1H1PS2	
					LIPE							CD115						HIST1H1T	
					LPL							HLA-DR						HIST1H2AA	
					AGT							CD205						HIST1H2AB	
					CEBPA							CD14						HIST1H2AC	
					CFD													HIST1H2AD	
					FABP4													HIST1H2AE	
					FASN													HIST1H2AG	
					IRS2													HIST1H2AH	
					KLF15													HIST1H2AI	
					PPARG													HIST1H2AJ	
					PPARGC1A													HIST1H2AK	
					RETN													HIST1H2AL	
					SRT3													HIST1H2AM	
					SLC2A4													HIST1H2APS1	
					SREBF1													HIST1H2APS2	
					ACACB													HIST1H2APS3	
					AXIN1													HIST1H2APS4	
					CCND1													HIST1H2APS5	
					CDK4													HIST1H2BA	
					CEBPB													HIST1H2BB	
					CEBPD													HIST1H2BC	
					DKK1													HIST1H2BD	
					E2F1													HIST1H2BE	
					FABP4													HIST1H2BF	
					FASN													HIST1H2BG	
																		HIST1H2BH	
																		HIST1H2BI	
																		HIST1H2BJ	
																		HIST1H2BK	
																		HIST1H2BL	
																		HIST1H2BM	
																		HIST1H2BN	
																		HIST1H2BO	
																		HIST1H2BPS1	
																		HIST1H2BPS2	
																		HIST1H3A	
																		HIST1H3B	
																		HIST1H3C	
																		HIST1H3D	
																		HIST1H3E	
																		HIST1H3F	
																		HIST1H3G	
																		HIST1H3H	
																		HIST1H3I	
																		HIST1H3J	
																		HIST1H3PS1	
																		HIST1H4A	
																		HIST1H4B	
																		HIST1H4C	
																		HIST1H4D	
																		HIST1H4E	
																		HIST1H4F	
																		HIST1H4G	
																		HIST1H4H	
																		HIST1H4I	
																		HIST1H4J	
																		HIST1H4K	
																		HIST1H4L	
																		HIST1H4PS1	
																		HIST2H2AA3	
																		HIST2H2AA4	
																		HIST2H2AB	
																		HIST2H2AC	
																		HIST2H2BA	
																		HIST2H2BB	
																		HIST2H2BC	
																		HIST2H2BD	
																		HIST2H2BE	
																		HIST2H2BF	
																		HIST2H3A	
																		HIST2H3C	
																		HIST2H3D	
																		HIST2H3PS2	
																		HIST2H4A	
																		HIST2H4B	
																		HIST3H2A	
																		HIST3H2BA	
																		HIST3H2BB	
																		HIST3H3	
																		HIST4H4	
																		MCM2	
																		MCM6	
																		MSH2	
																		NASP	
																		NPAT	
																		PCNA	
																		RRM1	
																		RRM2	
																		SLBP	
																		TYMS	
