## Szabo et al. 2019. Single-cell transcriptomics of human T cells reveals tissue and activation signatures in health and disease. Nature Communications volume 10, Article number: 4706 (2019) 
## Supplementary Data 5: Top ranked genes for each module from scHPF analysis. 
Treg	CD4.NV.CM	CD4.CD8	IFN.Response	Proliferation	CD8.Cytotoxic	CD8.Cytokine
TOX2	RASA3	TGFB3	IFITM3	GCK	FCRL3	NKG7
SPATA24	C14orf132	ANTXR2	OAS2	PDSS1	NKG7	CXCR6
TYMP	TXK	AQP3	FBXO6	TMEM52	PPP2R2B	CD70
PRDM1	MFGE8	CRIP2	PARP12	SMKR1	SYNGR1	ATP8B4
RTKN2	DBP	MYO1F	ERAP2	FKBP4	KLRC4	SDC4
SGPP2	SERINC5	MPP7	HELZ2	MRPL12	HLA-DPB1	ELOVL6
COL9A2	EVI2A	NMT2	JAK2	C16orf59	DAPK2	ADAP1
SPPL2A	MMP28	UTRN	ISG20	ATAD3A	F2R	IL26
TTC7A	ACACB	NLRP3	ALPK1	DGAT2	KIR3DL2	RDH10
CREM	SH3YL1	BTD	SLC37A3	RPP25	B3GAT1	LTA
P2RX7	RASGRP2	KLF2	APOL1	CENPN	CD8B	MICAL2
ETV6	ACTN1	ZFP36L2	RALB	POLR3H	TTC16	TNIP3
TNS4	DPEP2	SUN2	TNFSF10	MFSD2A	GALNT3	CCL20
SOCS2	CSGALNACT1	FXYD1	TAP2	TLCD1	SCD5	ULBP2
LRRC3	TMEM143	BEST4	SOCS1	CHEK1	PDGFD	CEBPD
STX1A	EDAR	IGFBP6	PARP10	NOLC1	ABCB1	RCAN2
CCDC50	ADPRM	SFXN3	USP18	IFRD2	MXRA7	ZEB2
MYO1C	TMEM204	CEP128	PLPP1	CYP27B1	CTBP2	CD226
S1PR2	KLF2	PLCD1	TRIM21	ANKRD13B	CD8A	SEMA4A
PLEKHG2	ADD3	CYB561	TAF4B	CKS2	ZEB2	SLAMF1
ACOT4	PPP1R3E	ANKMY2	BST2	DDIAS	SYTL2	SEMA7A
IKZF4	TTC28	NBPF11	CES4A	CTPS1	CHN2	FAM3C
TIFA	GCNT4	BAZ2B	HERC6	TTLL12	FGR	IL9
MAP3K8	TMEM63A	IL11RA	EIF2AK2	HSPE1	TGFBR3	SPAG1
NTRK2	IL24	ITGB7	RTP4	SH2D4A	SETBP1	PRDM1
FAM46C	PLCL1	ACSF2	APOL2	YRDC	COLGALT2	KLRD1
KLHL5	LETMD1	ATXN7L1	LPP	C10orf2	KIR2DL4	ST8SIA4
IZUMO4	SLC8B1	PINK1	SP110	TRAP1	FKBP1B	IER3
TFEB	ITGA6	PDCD4	FAM19A2	TIMM8A	ADGRG1	PLEK
